Price,Close,High,Low,Open,Volume
Ticker,IRR=X,IRR=X,IRR=X,IRR=X,IRR=X
Date,,,,,
2003-12-01,8298.2998046875,8298.2998046875,8298.2998046875,8298.2998046875,0
2003-12-02,8286.7001953125,8286.7001953125,8286.7001953125,8286.7001953125,0
2003-12-03,8294.0,8294.0,8294.0,8294.0,0
2003-12-04,8290.599609375,8290.599609375,8290.599609375,8290.599609375,0
2003-12-05,8294.0,8294.0,8294.0,8294.0,0
2003-12-08,8274.099609375,8274.099609375,8274.099609375,8274.099609375,0
2003-12-09,8264.099609375,8264.099609375,8264.099609375,8264.099609375,0
2003-12-10,8256.599609375,8256.599609375,8256.599609375,8256.599609375,0
2003-12-11,8257.2001953125,8257.2001953125,8257.2001953125,8257.2001953125,0
2003-12-12,8259.7001953125,8259.7001953125,8259.7001953125,8259.7001953125,0
2003-12-15,8254.099609375,8254.099609375,8254.099609375,8254.099609375,0
2003-12-16,8241.099609375,8241.099609375,8241.099609375,8241.099609375,0
2003-12-17,8252.7001953125,8252.7001953125,8252.7001953125,8252.7001953125,0
2003-12-18,8252.5,8252.5,8252.5,8252.5,0
2003-12-19,8237.2001953125,8237.2001953125,8237.2001953125,8237.2001953125,0
2003-12-22,8241.0,8241.0,8241.0,8241.0,0
2003-12-23,8243.2001953125,8243.2001953125,8243.2001953125,8243.2001953125,0
2003-12-29,8239.599609375,8239.599609375,8239.599609375,8239.599609375,0
2003-12-30,8239.7001953125,8239.7001953125,8239.7001953125,8239.7001953125,0
2003-12-31,8161.2998046875,8161.2998046875,8161.2998046875,8161.2998046875,0
2004-01-02,8236.2001953125,8239.099609375,8239.099609375,8239.099609375,0
2004-01-05,8731.5,8731.5,8731.5,8731.5,0
2004-01-06,8724.7001953125,8724.7001953125,8724.7001953125,8724.7001953125,0
2004-01-07,8728.7001953125,8728.7001953125,8728.7001953125,8728.7001953125,0
2004-01-08,8217.7998046875,8217.7998046875,8217.7998046875,8217.7998046875,0
2004-01-09,8236.900390625,8236.900390625,8236.900390625,8236.900390625,0
2004-01-12,8221.900390625,8221.900390625,8221.900390625,8221.900390625,0
2004-01-13,8222.900390625,8222.900390625,8222.900390625,8222.900390625,0
2004-01-14,8238.0,8238.0,8238.0,8238.0,0
2004-01-15,8239.0,8239.0,8239.0,8239.0,0
2004-01-16,8253.2001953125,8253.2001953125,8253.2001953125,8253.2001953125,0
2004-01-19,8244.900390625,8244.900390625,8244.900390625,8244.900390625,0
2004-01-20,8238.2998046875,8238.2998046875,8238.2998046875,8238.2998046875,0
2004-01-21,8245.099609375,8242.5,8242.5,8242.5,0
2004-01-22,8254.400390625,8254.400390625,8254.400390625,8254.400390625,0
2004-01-23,8264.2998046875,8264.2998046875,8264.2998046875,8264.2998046875,0
2004-01-26,8297.0,8297.0,8297.0,8297.0,0
2004-01-27,8294.900390625,8294.900390625,8294.900390625,8294.900390625,0
2004-01-28,8302.900390625,8302.900390625,8302.900390625,8302.900390625,0
2004-01-29,8312.0,8312.0,8312.0,8312.0,0
2004-01-30,8297.7001953125,8297.7001953125,8297.7001953125,8297.7001953125,0
2004-02-02,8299.7001953125,8299.7001953125,8299.7001953125,8299.7001953125,0
2004-02-03,8312.5,8312.5,8312.5,8312.5,0
2004-02-04,8312.5,8312.5,8312.5,8312.5,0
2004-02-05,8308.099609375,8308.099609375,8308.099609375,8308.099609375,0
2004-02-06,8311.099609375,8311.099609375,8311.099609375,8311.099609375,0
2004-02-09,8339.5,8302.7998046875,8302.7998046875,8302.7998046875,0
2004-02-10,8299.099609375,8299.099609375,8299.099609375,8299.099609375,0
2004-02-11,8298.900390625,8298.900390625,8298.900390625,8298.900390625,0
2004-02-12,8296.7001953125,8296.7001953125,8296.7001953125,8296.7001953125,0
2004-02-13,8298.599609375,8298.599609375,8298.599609375,8298.599609375,0
2004-02-16,8305.599609375,8305.599609375,8305.599609375,8305.599609375,0
2004-02-17,8305.400390625,8305.400390625,8305.400390625,8305.400390625,0
2004-02-18,8305.7001953125,8305.7001953125,8305.7001953125,8305.7001953125,0
2004-02-19,8300.7001953125,8300.7001953125,8300.7001953125,8300.7001953125,0
2004-02-20,8297.7998046875,8297.7998046875,8297.7998046875,8297.7998046875,0
2004-02-23,8322.2998046875,8322.2998046875,8322.2998046875,8322.2998046875,0
2004-02-24,8319.2001953125,8319.2001953125,8319.2001953125,8319.2001953125,0
2004-02-25,8330.7001953125,8330.7001953125,8330.7001953125,8330.7001953125,0
2004-02-26,8827.099609375,8827.099609375,8827.099609375,8827.099609375,0
2004-02-27,8827.0,8827.0,8827.0,8827.0,0
2004-03-01,8334.5,8334.5,8334.5,8334.5,0
2004-03-02,8336.7998046875,8336.7998046875,8336.7998046875,8336.7998046875,0
2004-03-03,8365.2998046875,8365.2998046875,8365.2998046875,8365.2998046875,0
2004-03-04,8372.7998046875,8372.7998046875,8372.7998046875,8372.7998046875,0
2004-03-05,8362.099609375,8362.099609375,8362.099609375,8362.099609375,0
2004-03-08,8366.099609375,8366.099609375,8366.099609375,8366.099609375,0
2004-03-09,8357.0,8357.0,8357.0,8357.0,0
2004-03-10,8355.099609375,8357.0,8357.0,8357.0,0
2004-03-11,8365.2001953125,8365.2001953125,8365.2001953125,8365.2001953125,0
2004-03-12,8376.099609375,8376.099609375,8376.099609375,8376.099609375,0
2004-03-15,8393.2998046875,8393.2998046875,8393.2998046875,8393.2998046875,0
2004-03-16,8395.5,8395.5,8395.5,8395.5,0
2004-03-17,8405.2998046875,8405.2998046875,8405.2998046875,8405.2998046875,0
2004-03-18,8422.2998046875,8422.2998046875,8422.2998046875,8422.2998046875,0
2004-03-19,8418.599609375,8418.599609375,8418.599609375,8418.599609375,0
2004-03-22,8415.400390625,8415.400390625,8415.400390625,8415.400390625,0
2004-03-23,8415.2001953125,8415.2001953125,8415.2001953125,8415.2001953125,0
2004-03-24,8417.0,8417.0,8417.0,8417.0,0
2004-03-25,8407.0,8407.0,8407.0,8407.0,0
2004-03-26,8410.0,8410.0,8410.0,8410.0,0
2004-03-29,8421.5,8421.5,8421.5,8421.5,0
2004-03-30,8423.099609375,8423.099609375,8423.099609375,8423.099609375,0
2004-03-31,8413.7998046875,8413.7998046875,8413.7998046875,8413.7998046875,0
2004-04-01,8419.2001953125,8419.2001953125,8419.2001953125,8419.2001953125,0
2004-04-02,8415.2998046875,8415.2998046875,8415.2998046875,8415.2998046875,0
2004-04-05,8446.5,8446.5,8446.5,8446.5,0
2004-04-06,8452.5,8452.5,8452.5,8452.5,0
2004-04-07,8441.7001953125,8441.7001953125,8441.7001953125,8441.7001953125,0
2004-04-08,8450.599609375,8450.599609375,8450.599609375,8450.599609375,0
2004-04-13,8455.099609375,8455.099609375,8455.099609375,8455.099609375,0
2004-04-14,8463.7998046875,8463.7998046875,8463.7998046875,8463.7998046875,0
2004-04-15,8465.0,8465.0,8465.0,8465.0,0
2004-04-16,8460.599609375,8460.599609375,8460.599609375,8460.599609375,0
2004-04-19,8468.099609375,8468.099609375,8468.099609375,8468.099609375,0
2004-04-20,8470.5,8470.5,8460.599609375,8460.599609375,0
2004-04-21,8479.5,8479.5,8479.5,8479.5,0
2004-04-22,8479.0,8479.0,8479.0,8479.0,0
2004-04-23,8487.7001953125,8487.7001953125,8487.7001953125,8487.7001953125,0
2004-04-26,8501.599609375,8501.599609375,8501.599609375,8501.599609375,0
2004-04-27,8507.400390625,8507.400390625,8507.400390625,8507.400390625,0
2004-04-28,8487.2001953125,8487.2001953125,8487.2001953125,8487.2001953125,0
2004-04-29,8499.0,8499.0,8499.0,8499.0,0
2004-04-30,8477.2001953125,8504.099609375,8477.2001953125,8504.099609375,0
2004-05-03,8492.900390625,8492.900390625,8492.900390625,8492.900390625,0
2004-05-04,8494.400390625,8494.400390625,8494.400390625,8494.400390625,0
2004-05-05,8500.2001953125,8500.2001953125,8500.2001953125,8500.2001953125,0
2004-05-06,8505.5,8505.5,8505.5,8505.5,0
2004-05-07,8488.0,8488.0,8488.0,8488.0,0
2004-05-10,8489.7998046875,8489.7998046875,8489.7998046875,8489.7998046875,0
2004-05-11,8489.400390625,8489.400390625,8489.400390625,8489.400390625,0
2004-05-12,8493.400390625,8493.400390625,8493.400390625,8493.400390625,0
2004-05-13,8491.7998046875,8491.7998046875,8491.7998046875,8491.7998046875,0
2004-05-14,8493.0,8493.0,8493.0,8493.0,0
2004-05-17,8505.099609375,8505.099609375,8505.099609375,8505.099609375,0
2004-05-18,8501.2001953125,8501.2001953125,8501.2001953125,8501.2001953125,0
2004-05-19,8508.0,8508.0,8508.0,8508.0,0
2004-05-21,8511.099609375,8511.099609375,8505.7998046875,8505.7998046875,0
2004-05-24,8510.2998046875,8510.2998046875,8510.2998046875,8510.2998046875,0
2004-05-25,8508.0,8508.0,8508.0,8508.0,0
2004-05-26,8506.7001953125,8506.7001953125,8506.7001953125,8506.7001953125,0
2004-05-27,8508.7001953125,8508.7001953125,8508.7001953125,8508.7001953125,0
2004-05-28,8513.099609375,8513.099609375,8513.099609375,8513.099609375,0
2004-06-01,8516.7001953125,8516.7001953125,8516.7001953125,8516.7001953125,0
2004-06-02,8514.7998046875,8514.7998046875,8514.7998046875,8514.7998046875,0
2004-06-03,8513.099609375,8513.099609375,8513.099609375,8513.099609375,0
2004-06-04,8516.900390625,8516.900390625,8516.900390625,8516.900390625,0
2004-06-07,8518.900390625,8518.900390625,8518.900390625,8518.900390625,0
2004-06-08,8553.7001953125,8553.7001953125,8514.400390625,8514.400390625,0
2004-06-09,8534.099609375,8534.099609375,8522.900390625,8522.900390625,0
2004-06-10,8544.400390625,8544.400390625,8539.400390625,8539.400390625,0
2004-06-11,8527.2998046875,8566.099609375,8527.2998046875,8566.099609375,0
2004-06-14,8546.599609375,8551.599609375,8546.599609375,8551.599609375,0
2004-06-15,8546.5,8546.5,8506.2998046875,8506.2998046875,0
2004-06-16,8545.900390625,8545.900390625,8545.900390625,8545.900390625,0
2004-06-17,8555.0,8555.0,8555.0,8555.0,0
2004-06-18,8552.2998046875,8599.900390625,8552.2998046875,8599.900390625,0
2004-06-21,8566.2998046875,8566.2998046875,8475.2001953125,8475.2001953125,0
2004-06-22,8562.400390625,8562.400390625,8562.400390625,8562.400390625,0
2004-06-23,8566.099609375,8566.099609375,8511.0,8524.2998046875,0
2004-06-24,8574.7998046875,8576.0,8574.599609375,8576.0,0
2004-06-25,8571.099609375,8571.099609375,8571.099609375,8571.099609375,0
2004-06-28,8574.400390625,8574.400390625,8554.099609375,8554.099609375,0
2004-06-29,8576.7001953125,8576.7001953125,8569.099609375,8569.099609375,0
2004-06-30,8580.2001953125,8626.2998046875,8580.2001953125,8626.2998046875,0
2004-07-01,8589.099609375,8589.099609375,8589.099609375,8589.099609375,0
2004-07-02,8577.7998046875,8577.7998046875,8577.7998046875,8577.7998046875,0
2004-07-05,8581.7001953125,8581.7001953125,8461.5,8461.5,0
2004-07-06,8593.2001953125,8593.2001953125,8593.2001953125,8593.2001953125,0
2004-07-07,8590.900390625,8590.900390625,8573.0,8573.0,0
2004-07-08,8585.7001953125,8585.7001953125,8585.7001953125,8585.7001953125,0
2004-07-09,8594.2001953125,8594.2001953125,8549.7998046875,8549.7998046875,0
2004-07-12,8595.2998046875,8595.2998046875,8595.2998046875,8595.2998046875,0
2004-07-13,8598.0,8598.0,8598.0,8598.0,0
2004-07-14,8600.599609375,8600.599609375,8600.599609375,8600.599609375,0
2004-07-15,8618.400390625,8618.400390625,8586.400390625,8598.2001953125,0
2004-07-16,8599.5,8599.5,8599.5,8599.5,0
2004-07-19,8599.900390625,8599.900390625,8599.900390625,8599.900390625,0
2004-07-20,8611.099609375,8611.099609375,8611.099609375,8611.099609375,0
2004-07-21,8600.400390625,8600.400390625,8600.400390625,8600.400390625,0
2004-07-22,8611.0,8611.0,8611.0,8611.0,0
2004-07-23,8597.900390625,8597.900390625,8597.900390625,8597.900390625,0
2004-07-26,8628.7001953125,8639.400390625,8628.7001953125,8639.400390625,0
2004-07-27,8626.7998046875,8626.7998046875,8626.7998046875,8626.7998046875,0
2004-07-28,8613.2001953125,8701.2001953125,8613.2001953125,8701.2001953125,0
2004-07-29,8638.5,8638.5,8638.5,8638.5,0
2004-07-30,8639.599609375,8639.599609375,8639.599609375,8639.599609375,0
2004-08-02,8648.900390625,8648.900390625,8648.900390625,8648.900390625,0
2004-08-03,8642.5,8642.5,8642.5,8642.5,0
2004-08-04,8643.900390625,8643.900390625,8643.900390625,8643.900390625,0
2004-08-05,8652.099609375,8652.099609375,8652.099609375,8652.099609375,0
2004-08-06,8644.5,8644.5,8636.0,8636.0,0
2004-08-09,8651.599609375,8651.599609375,8651.599609375,8651.599609375,0
2004-08-10,8650.5,8650.5,8650.5,8650.5,0
2004-08-11,8655.900390625,8655.900390625,8655.900390625,8655.900390625,0
2004-08-12,8648.900390625,8648.900390625,8648.900390625,8648.900390625,0
2004-08-13,8647.2998046875,8673.599609375,8647.2998046875,8673.599609375,0
2004-08-16,8644.2998046875,8644.2998046875,8644.2998046875,8644.2998046875,0
2004-08-17,8652.2001953125,8652.2001953125,8652.2001953125,8652.2001953125,0
2004-08-18,8648.599609375,8648.599609375,8648.599609375,8648.599609375,0
2004-08-19,8651.2998046875,8651.2998046875,8651.2998046875,8651.2998046875,0
2004-08-20,8652.5,8652.5,8652.5,8652.5,0
2004-08-23,8655.400390625,8655.400390625,8655.400390625,8655.400390625,0
2004-08-24,8659.400390625,8736.7001953125,8659.400390625,8736.7001953125,0
2004-08-25,8651.0,8651.0,8651.0,8651.0,0
2004-08-26,8660.2998046875,8660.2998046875,8660.2998046875,8660.2998046875,0
2004-08-27,8662.400390625,8662.400390625,8662.400390625,8662.400390625,0
2004-08-30,8668.400390625,8668.400390625,8668.400390625,8668.400390625,0
2004-08-31,8663.7001953125,8663.7001953125,8663.7001953125,8663.7001953125,0
2004-09-01,8672.099609375,8672.099609375,8672.099609375,8672.099609375,0
2004-09-02,8673.2998046875,8673.2998046875,8673.2998046875,8673.2998046875,0
2004-09-03,8675.2001953125,8675.2001953125,8675.2001953125,8675.2001953125,0
2004-09-06,8683.2001953125,8758.7001953125,8683.2001953125,8758.7001953125,0
2004-09-07,8678.099609375,8688.5,8678.099609375,8688.5,0
2004-09-08,8681.2001953125,8705.5,8681.2001953125,8700.400390625,0
2004-09-09,8684.599609375,8684.599609375,8684.599609375,8684.599609375,0
2004-09-10,8685.7001953125,8685.7001953125,8685.7001953125,8685.7001953125,0
2004-09-13,8680.7998046875,8680.7998046875,8680.7998046875,8680.7998046875,0
2004-09-14,8687.2998046875,8687.2998046875,8687.2998046875,8687.2998046875,0
2004-09-15,8674.599609375,8674.599609375,8674.599609375,8674.599609375,0
2004-09-16,8675.7998046875,8742.099609375,8675.7998046875,8742.099609375,0
2004-09-17,8701.900390625,8701.900390625,8677.7001953125,8677.7001953125,0
2004-09-20,8675.5,8675.5,8675.5,8675.5,0
2004-09-21,8686.7001953125,8686.7001953125,8686.7001953125,8686.7001953125,0
2004-09-22,8678.2998046875,8678.2998046875,8678.2998046875,8678.2998046875,0
2004-09-23,8687.5,8687.5,8687.5,8687.5,0
2004-09-24,8685.0,8685.0,8685.0,8685.0,0
2004-09-27,8688.2998046875,8688.2998046875,8688.2998046875,8688.2998046875,0
2004-09-28,8694.400390625,8694.400390625,8651.900390625,8651.900390625,0
2004-09-29,8689.0,8689.0,8689.0,8689.0,0
2004-09-30,8680.099609375,8680.099609375,8673.900390625,8673.900390625,0
2004-10-01,8691.2001953125,8691.2001953125,8626.2998046875,8626.2998046875,0
