Price,Close,High,Low,Open,Volume
Ticker,JMD=X,JMD=X,JMD=X,JMD=X,JMD=X
Date,,,,,
2003-12-01,50.0,50.0,50.0,50.0,0
2003-12-02,50.0,50.0,50.0,50.0,0
2003-12-03,50.0,50.0,50.0,50.0,0
2003-12-04,50.0,50.0,50.0,50.0,0
2003-12-05,50.0,50.0,50.0,50.0,0
2003-12-08,50.0,50.0,50.0,50.0,0
2003-12-09,50.0,50.0,50.0,50.0,0
2003-12-10,50.0,50.0,50.0,50.0,0
2003-12-11,50.0,50.0,50.0,50.0,0
2003-12-12,50.0,50.0,50.0,50.0,0
2003-12-15,50.0,50.0,50.0,50.0,0
2003-12-16,50.0,50.0,50.0,50.0,0
2003-12-17,50.0,50.0,50.0,50.0,0
2003-12-18,50.0,50.0,50.0,50.0,0
2003-12-19,50.0,50.0,50.0,50.0,0
2003-12-22,50.0,50.0,50.0,50.0,0
2003-12-23,50.0,50.0,50.0,50.0,0
2003-12-24,50.0,50.0,50.0,50.0,0
2003-12-25,50.0,50.0,50.0,50.0,0
2003-12-26,50.0,50.0,50.0,50.0,0
2003-12-29,50.0,50.0,50.0,50.0,0
2003-12-30,50.0,50.0,50.0,50.0,0
2003-12-31,50.0,50.0,50.0,50.0,0
2004-01-01,50.0,50.0,50.0,50.0,0
2004-01-02,50.0,50.0,50.0,50.0,0
2004-01-05,50.0,50.0,50.0,50.0,0
2004-01-06,50.0,50.0,50.0,50.0,0
2004-01-07,50.0,50.0,50.0,50.0,0
2004-01-08,50.0,50.0,50.0,50.0,0
2004-01-09,50.0,50.0,50.0,50.0,0
2004-01-12,50.0,50.0,50.0,50.0,0
2004-01-13,50.0,50.0,50.0,50.0,0
2004-01-14,50.0,50.0,50.0,50.0,0
2004-01-15,50.0,50.0,50.0,50.0,0
2004-01-16,50.0,50.0,50.0,50.0,0
2004-01-19,50.0,50.0,50.0,50.0,0
2004-01-20,50.0,50.0,50.0,50.0,0
2004-01-21,50.0,50.0,50.0,50.0,0
2004-01-22,50.0,50.0,50.0,50.0,0
2004-01-23,50.0,50.0,50.0,50.0,0
2004-01-26,50.0,50.0,50.0,50.0,0
2004-01-27,50.0,50.0,50.0,50.0,0
2004-01-28,50.0,50.0,50.0,50.0,0
2004-01-29,50.0,50.0,50.0,50.0,0
2004-01-30,50.0,50.0,50.0,50.0,0
2004-02-02,50.0,50.0,50.0,50.0,0
2004-02-03,50.0,50.0,50.0,50.0,0
2004-02-04,50.0,50.0,50.0,50.0,0
2004-02-05,50.0,50.0,50.0,50.0,0
2004-02-06,50.0,50.0,50.0,50.0,0
2004-02-09,55.0,55.0,55.0,55.0,0
2004-02-10,55.0,55.0,55.0,55.0,0
2004-02-11,55.0,55.0,55.0,55.0,0
2004-02-12,55.0,55.0,55.0,55.0,0
2004-02-13,55.0,55.0,55.0,55.0,0
2004-02-16,55.0,55.0,55.0,55.0,0
2004-02-17,55.0,55.0,55.0,55.0,0
2004-02-18,55.0,55.0,55.0,55.0,0
2004-02-19,55.0,55.0,55.0,55.0,0
2004-02-23,55.0,55.0,55.0,55.0,0
2004-02-24,55.0,55.0,55.0,55.0,0
2004-02-25,55.0,55.0,55.0,55.0,0
2004-02-26,55.0,55.0,55.0,55.0,0
2004-02-27,55.0,55.0,55.0,55.0,0
2004-03-01,55.0,55.0,55.0,55.0,0
