Price,Close,High,Low,Open,Volume
Ticker,MGA=X,MGA=X,MGA=X,MGA=X,MGA=X
Date,,,,,
2004-08-26,10175.0,10400.0,9950.0,10175.0,0
2004-08-27,10062.5,10400.0,9750.0,10175.0,0
2004-08-30,10025.0,10250.0,9750.0,10062.5,0
2004-08-31,10075.0,10300.0,9750.0,10025.0,0
2004-09-01,10175.0,10400.0,9750.0,10075.0,0
2004-09-02,10162.5,10325.0,10000.0,10152.0,0
2004-09-03,10162.5,10325.0,9750.0,10162.5,0
2004-09-06,10325.0,10550.0,10000.0,10225.0,0
2004-09-07,10400.0,10550.0,9750.0,10349.5,0
2004-09-08,10350.0,10550.0,10200.0,10400.0,0
2004-09-09,10250.0,10500.0,10000.0,10350.0,0
2004-09-10,10300.0,10500.0,10000.0,10250.0,0
2004-09-13,10175.0,10300.0,9750.0,10150.0,0
2004-09-14,10250.0,10450.0,9750.0,10175.0,0
2004-09-15,10225.0,10400.0,10100.0,10250.0,0
2004-09-16,10250.0,10400.0,9750.0,10225.0,0
2004-09-17,10250.0,10400.0,9750.0,10250.0,0
2004-09-20,10400.0,10600.0,9750.0,10250.0,0
2004-09-21,10400.0,10605.0,10200.0,10400.0,0
2004-09-22,10425.0,10600.0,10100.0,10362.5,0
2004-09-23,10362.5,10600.0,9750.0,10425.0,0
2004-09-24,10350.0,10500.0,9750.0,10362.5,0
2004-09-27,10400.0,10600.0,9750.0,10350.0,0
2004-09-28,10275.0,10600.0,10150.0,10400.0,0
2004-09-29,10250.0,10450.0,9750.0,10275.0,0
2004-09-30,10200.0,10475.0,9750.0,10262.5,0
2004-10-01,10225.0,10400.0,9750.0,10200.0,0
2004-10-04,10362.5,10500.0,10000.0,10225.0,0
2004-10-05,10375.0,10500.0,9750.0,10362.5,0
2004-10-06,10350.0,10500.0,9750.0,10375.0,0
2004-10-07,10375.0,10550.0,10050.0,10350.0,0
2004-10-08,10350.0,10500.0,9750.0,10375.0,0
2004-10-11,10300.0,10500.0,9750.0,10240.0,0
2004-10-12,10325.0,10415.0,9750.0,10315.0,0
2004-10-13,10350.0,10500.0,9750.0,10313.0,0
2004-10-14,10445.0,10500.0,9750.0,10363.5,0
2004-10-15,10375.0,10500.0,10186.0,10314.0,0
2004-10-18,10325.0,10600.0,10150.0,10375.0,0
2004-10-19,10300.0,10500.0,10150.0,10325.0,0
2004-10-20,10400.0,10450.0,9950.0,10234.0,0
2004-10-21,10350.0,10450.0,10180.0,10400.0,0
2004-10-22,10325.0,10500.0,9950.0,10350.0,0
2004-10-25,10362.5,10500.0,9950.0,10350.0,0
2004-10-26,10337.5,10500.0,10100.0,10362.5,0
2004-10-27,10287.5,10510.0,10000.0,10337.5,0
2004-10-28,10300.0,10500.0,10050.0,10315.0,0
2004-10-29,10325.0,10500.0,9950.0,10286.5,0
2004-11-01,10360.0,10560.0,9950.0,10325.0,0
2004-11-02,10100.0,10350.0,9950.0,10225.0,0
2004-11-03,10165.0,10400.0,9950.0,10250.0,0
2004-11-04,9987.5,10300.0,9835.0,10150.0,0
2004-11-05,9990.0,10200.0,9750.0,10000.0,0
2004-11-08,9990.0,10250.0,9775.0,9882.5,0
2004-11-09,10067.5,10250.0,9845.0,9945.0,0
2004-11-10,9930.0,10200.0,9850.0,10050.0,0
2004-11-11,9840.0,10150.0,9755.0,10012.5,0
2004-11-12,9962.5,10075.0,9650.0,9862.5,0
2004-11-15,9887.5,10100.0,9650.0,9950.0,0
2004-11-16,9877.5,10040.0,9640.0,9840.0,0
2004-11-17,9925.0,10000.0,9755.0,9840.0,0
2004-11-18,9765.0,10020.0,9665.0,9850.0,0
2004-11-19,9755.0,9950.0,9400.0,9725.0,0
2004-11-22,9750.0,10000.0,9500.0,9750.0,0
2004-11-23,9812.5,9900.0,9500.0,9750.0,0
2004-11-24,9835.0,9975.0,9500.0,9750.0,0
2004-11-25,9735.0,10000.0,9660.0,9825.0,0
2004-11-26,9750.0,9825.0,9615.0,9700.0,0
2004-11-29,9712.5,9800.0,9450.0,9680.0,0
2004-11-30,9675.0,9900.0,9475.0,9687.5,0
