Price,Close,High,Low,Open,Volume
Ticker,PYG=X,PYG=X,PYG=X,PYG=X,PYG=X
Date,,,,,
2003-12-01,5994.60009765625,5994.60009765625,5994.60009765625,5994.60009765625,0
2003-12-02,5985.89990234375,5985.89990234375,5985.89990234375,5985.89990234375,0
2003-12-03,5992.0,5992.0,5992.0,5992.0,0
2003-12-04,6009.2998046875,6009.2998046875,6009.2998046875,6009.2998046875,0
2003-12-05,6011.7998046875,6011.7998046875,6011.7998046875,6011.7998046875,0
2003-12-08,5994.39990234375,5994.39990234375,5994.39990234375,5994.39990234375,0
2003-12-09,5995.0,5995.0,5995.0,5995.0,0
2003-12-10,5983.7001953125,5983.7001953125,5983.7001953125,5983.7001953125,0
2003-12-11,5981.60009765625,5981.60009765625,5981.60009765625,5981.60009765625,0
2003-12-12,5868.39990234375,5868.39990234375,5868.39990234375,5868.39990234375,0
2003-12-15,5866.7998046875,5866.7998046875,5866.7998046875,5866.7998046875,0
2003-12-16,5865.2998046875,5865.2998046875,5865.2998046875,5865.2998046875,0
2003-12-17,5873.5,5873.5,5873.5,5873.5,0
2003-12-18,5874.5,5874.5,5874.5,5874.5,0
2003-12-19,5863.10009765625,5863.10009765625,5863.10009765625,5863.10009765625,0
2003-12-22,5869.2001953125,5869.2001953125,5869.2001953125,5869.2001953125,0
2003-12-23,5870.7001953125,5870.7001953125,5870.7001953125,5870.7001953125,0
2003-12-29,5870.7001953125,5870.7001953125,5870.7001953125,5870.7001953125,0
2003-12-30,5871.39990234375,5871.39990234375,5871.39990234375,5871.39990234375,0
2003-12-31,5814.5,5814.5,5814.5,5814.5,0
2004-01-02,5870.89990234375,5873.0,5873.0,5873.0,0
2004-01-05,5872.5,5872.5,5872.5,5872.5,0
2004-01-06,5867.2001953125,5867.2001953125,5867.2001953125,5867.2001953125,0
2004-01-07,6024.5,6024.5,6024.5,6024.5,0
2004-01-08,6014.5,6014.5,6014.5,6014.5,0
2004-01-09,6028.7001953125,6028.7001953125,6028.7001953125,6028.7001953125,0
2004-01-12,6026.0,6026.0,6026.0,6026.0,0
2004-01-13,6026.0,6026.0,6026.0,6026.0,0
2004-01-14,6024.60009765625,6024.60009765625,6024.60009765625,6024.60009765625,0
2004-01-15,6025.2001953125,6025.2001953125,6025.2001953125,6025.2001953125,0
2004-01-16,6034.89990234375,6034.89990234375,6034.89990234375,6034.89990234375,0
2004-01-19,6138.60009765625,6138.60009765625,6138.60009765625,6138.60009765625,0
2004-01-20,6134.7998046875,6134.7998046875,6134.7998046875,6134.7998046875,0
2004-01-21,6139.89990234375,6138.0,6138.0,6138.0,0
2004-01-22,6147.2001953125,6147.2001953125,6147.2001953125,6147.2001953125,0
2004-01-23,6154.7001953125,6154.7001953125,6154.7001953125,6154.7001953125,0
2004-01-26,6148.7998046875,6148.7998046875,6148.7998046875,6148.7998046875,0
2004-01-27,6140.7001953125,6140.7001953125,6140.7001953125,6140.7001953125,0
2004-01-28,6128.5,6128.5,6128.5,6128.5,0
2004-01-29,6128.0,6128.0,6128.0,6128.0,0
2004-01-30,6116.2998046875,6116.2998046875,6116.2998046875,6116.2998046875,0
2004-02-02,6107.5,6107.5,6107.5,6107.5,0
2004-02-03,6001.60009765625,6001.60009765625,6001.60009765625,6001.60009765625,0
2004-02-04,6001.60009765625,6001.60009765625,6001.60009765625,6001.60009765625,0
