Price,Close,High,Low,Open,Volume
Ticker,SLL=X,SLL=X,SLL=X,SLL=X,SLL=X
Date,,,,,
2004-08-25,2455.0,2555.0,2355.0,2455.0,0
2004-08-26,2455.0,2555.0,2355.0,2455.0,0
2004-08-27,2455.0,2555.0,2355.0,2455.0,0
2004-08-30,2455.0,2555.0,2355.0,2455.0,0
2004-08-31,2455.0,2555.0,2355.0,2455.0,0
2004-09-01,2455.0,2555.0,2355.0,2455.0,0
2004-09-02,2455.0,2555.0,2355.0,2455.0,0
2004-09-03,2455.0,2555.0,2355.0,2455.0,0
2004-09-06,2455.0,2555.0,2355.0,2455.0,0
2004-09-07,2455.0,2555.0,2355.0,2455.0,0
2004-09-08,2455.0,2555.0,2355.0,2455.0,0
2004-09-09,2455.0,2555.0,2355.0,2455.0,0
2004-09-10,2455.0,2555.0,2355.0,2455.0,0
2004-09-13,2455.0,2555.0,2355.0,2455.0,0
2004-09-14,2455.0,2555.0,2355.0,2455.0,0
2004-09-15,2455.0,2555.0,2355.0,2455.0,0
2004-09-16,2455.0,2555.0,2355.0,2455.0,0
2004-09-17,2455.0,2555.0,2355.0,2455.0,0
2004-09-20,2455.0,2555.0,2355.0,2455.0,0
2004-09-21,2455.0,2555.0,2355.0,2455.0,0
2004-09-22,2455.0,2555.0,2355.0,2455.0,0
2004-09-23,2455.0,2555.0,2355.0,2455.0,0
2004-09-24,2455.0,2555.0,2355.0,2455.0,0
2004-09-27,2455.0,2555.0,2355.0,2455.0,0
2004-09-28,2455.0,2555.0,2355.0,2455.0,0
2004-09-29,2455.0,2555.0,2355.0,2455.0,0
2004-09-30,2455.0,2555.0,2355.0,2455.0,0
2004-10-01,2455.0,2555.0,2355.0,2455.0,0
2004-10-04,2455.0,2555.0,2355.0,2455.0,0
2004-10-05,2455.0,2555.0,2355.0,2455.0,0
2004-10-06,2455.0,2555.0,2355.0,2455.0,0
2004-10-07,2455.0,2555.0,2355.0,2455.0,0
2004-10-08,2455.0,2555.0,2355.0,2455.0,0
2004-10-11,2455.0,2555.0,2355.0,2455.0,0
2004-10-12,2455.0,2555.0,2355.0,2455.0,0
2004-10-13,2455.0,2555.0,2355.0,2455.0,0
2004-10-14,2455.0,2555.0,2355.0,2455.0,0
2004-10-15,2455.0,2555.0,2355.0,2455.0,0
2004-10-18,2455.0,2555.0,2355.0,2455.0,0
2004-10-19,2455.0,2555.0,2355.0,2455.0,0
2004-10-20,2455.0,2555.0,2355.0,2455.0,0
2004-10-21,2455.0,2555.0,2355.0,2455.0,0
2004-10-22,2455.0,2555.0,2355.0,2455.0,0
2004-10-25,2455.0,2555.0,2355.0,2455.0,0
2004-10-26,2455.0,2555.0,2355.0,2455.0,0
2004-10-27,2455.0,2555.0,2355.0,2455.0,0
2004-10-28,2455.0,2555.0,2355.0,2455.0,0
2004-10-29,2455.0,2555.0,2355.0,2455.0,0
2004-11-01,2455.0,2555.0,2355.0,2455.0,0
2004-11-02,2455.0,2555.0,2355.0,2455.0,0
2004-11-03,2455.0,2555.0,2355.0,2455.0,0
2004-11-04,2455.0,2555.0,2355.0,2455.0,0
2004-11-05,2455.0,2555.0,2355.0,2455.0,0
2004-11-08,2455.0,2555.0,2355.0,2455.0,0
2004-11-09,2455.0,2555.0,2355.0,2455.0,0
2004-11-10,2455.0,2555.0,2355.0,2455.0,0
2004-11-11,2455.0,2555.0,2355.0,2455.0,0
2004-11-12,2455.0,2555.0,2355.0,2455.0,0
2004-11-15,2455.0,2555.0,2355.0,2455.0,0
2004-11-16,2455.0,2555.0,2355.0,2455.0,0
2004-11-17,2455.0,2555.0,2355.0,2455.0,0
2004-11-18,2455.0,2555.0,2355.0,2455.0,0
2004-11-19,2455.0,2555.0,2355.0,2455.0,0
2004-11-22,2455.0,2555.0,2355.0,2455.0,0
2004-11-23,2455.0,2555.0,2355.0,2455.0,0
2004-11-24,2455.0,2555.0,2355.0,2455.0,0
2004-11-25,2455.0,2555.0,2355.0,2455.0,0
2004-11-26,2455.0,2555.0,2355.0,2455.0,0
