Price,Close,High,Low,Open,Volume
Ticker,UGX=X,UGX=X,UGX=X,UGX=X,UGX=X
Date,,,,,
2002-04-01,1778.0,1784.0,1772.0,1778.0,0
2003-01-02,1857.0,1862.0,1800.0,1857.0999755859375,0
2003-04-21,1985.0,2005.0,1925.0,1982.9000244140625,0
2003-12-01,1935.0,1935.0,1935.0,1935.0,0
2003-12-03,1935.0,1935.0,1935.0,1935.0,0
2003-12-04,1935.0,1935.0,1935.0,1935.0,0
2003-12-05,1910.0,1910.0,1910.0,1910.0,0
2003-12-09,1910.0,1910.0,1910.0,1910.0,0
2003-12-10,1910.0,1910.0,1910.0,1910.0,0
2003-12-11,1910.0,1910.0,1910.0,1910.0,0
2003-12-12,1910.0,1910.0,1910.0,1910.0,0
2003-12-15,1910.0,1910.0,1910.0,1910.0,0
2003-12-16,1910.0,1910.0,1910.0,1910.0,0
2003-12-17,1910.0,1910.0,1910.0,1910.0,0
2003-12-18,1910.0,1910.0,1910.0,1910.0,0
2003-12-19,1910.0,1910.0,1910.0,1910.0,0
2003-12-22,1910.0,1910.0,1910.0,1910.0,0
2003-12-23,1910.0,1910.0,1910.0,1910.0,0
2003-12-24,1910.0,1910.0,1910.0,1910.0,0
2003-12-25,1910.0,1910.0,1910.0,1910.0,0
2003-12-26,1910.0,1910.0,1910.0,1910.0,0
2003-12-29,1910.0,1910.0,1910.0,1910.0,0
2003-12-30,1910.0,1910.0,1910.0,1910.0,0
2003-12-31,1910.0,1910.0,1910.0,1910.0,0
2004-01-01,1910.0,1910.0,1910.0,1910.0,0
2004-01-05,1910.0,1910.0,1910.0,1910.0,0
2004-01-06,1910.0,1910.0,1910.0,1910.0,0
2004-01-07,1910.0,1910.0,1910.0,1910.0,0
2004-01-08,1910.0,1910.0,1910.0,1910.0,0
2004-01-09,1910.0,1910.0,1910.0,1910.0,0
2004-01-12,1910.0,1910.0,1910.0,1910.0,0
2004-01-13,1910.0,1910.0,1910.0,1910.0,0
2004-01-14,1910.0,1910.0,1910.0,1910.0,0
2004-01-15,1910.0,1910.0,1910.0,1910.0,0
2004-01-16,1910.0,1910.0,1910.0,1910.0,0
2004-01-19,1910.0,1910.0,1910.0,1910.0,0
2004-01-20,1910.0,1910.0,1910.0,1910.0,0
2004-01-21,1910.0,1910.0,1910.0,1910.0,0
2004-01-22,1910.0,1910.0,1910.0,1910.0,0
2004-01-23,1910.0,1910.0,1910.0,1910.0,0
2004-01-26,1910.0,1910.0,1910.0,1910.0,0
2004-01-27,1910.0,1910.0,1910.0,1910.0,0
2004-01-28,1910.0,1910.0,1910.0,1910.0,0
2004-01-29,1910.0,1910.0,1910.0,1910.0,0
2004-02-02,1910.0,1910.0,1910.0,1910.0,0
2004-02-03,1910.0,1910.0,1910.0,1910.0,0
2004-02-04,1910.0,1910.0,1910.0,1910.0,0
2004-02-05,1860.0,1860.0,1860.0,1860.0,0
2004-02-06,1860.0,1860.0,1860.0,1860.0,0
2004-02-09,1830.0,1830.0,1830.0,1830.0,0
2004-02-10,1830.0,1830.0,1830.0,1830.0,0
2004-02-11,1830.0,1830.0,1830.0,1830.0,0
2004-02-12,1830.0,1830.0,1830.0,1830.0,0
2004-02-13,1830.0,1830.0,1830.0,1830.0,0
2004-02-16,1830.0,1830.0,1830.0,1830.0,0
2004-02-17,1725.0,1725.0,1725.0,1725.0,0
2004-02-18,1725.0,1725.0,1725.0,1725.0,0
2004-02-19,1725.0,1725.0,1725.0,1725.0,0
2004-02-23,1725.0,1725.0,1725.0,1725.0,0
2004-02-24,1725.0,1725.0,1725.0,1725.0,0
2004-02-25,1725.0,1725.0,1725.0,1725.0,0
2004-02-26,1725.0,1725.0,1725.0,1725.0,0
2004-02-27,1725.0,1725.0,1725.0,1725.0,0
2004-03-01,1900.0,1900.0,1900.0,1900.0,0
2004-03-02,1900.0,1900.0,1900.0,1900.0,0
2004-03-03,1900.0,1900.0,1900.0,1900.0,0
2004-03-04,1900.0,1900.0,1900.0,1900.0,0
2004-03-09,1900.0,1900.0,1900.0,1900.0,0
2004-03-10,1900.0,1900.0,1900.0,1900.0,0
2004-03-11,1900.0,1900.0,1900.0,1900.0,0
2004-03-15,1900.0,1900.0,1900.0,1900.0,0
2004-03-16,1900.0,1900.0,1900.0,1900.0,0
2004-03-17,1900.0,1900.0,1900.0,1900.0,0
2004-03-18,1900.0,1900.0,1900.0,1900.0,0
2004-03-19,1900.0,1900.0,1900.0,1900.0,0
2004-03-22,1900.0,1900.0,1900.0,1900.0,0
2004-03-23,1900.0,1900.0,1900.0,1900.0,0
2004-03-24,1900.0,1900.0,1900.0,1900.0,0
2004-03-25,1900.0,1900.0,1900.0,1900.0,0
2004-03-26,1900.0,1900.0,1900.0,1900.0,0
2004-03-30,1900.0,1900.0,1900.0,1900.0,0
2004-03-31,1900.0,1900.0,1900.0,1900.0,0
2004-04-01,1900.0,1900.0,1900.0,1900.0,0
2004-04-02,1900.0,1900.0,1900.0,1900.0,0
2004-04-05,1900.0,1900.0,1900.0,1900.0,0
2004-04-06,1900.0,1900.0,1900.0,1900.0,0
2004-04-07,1900.0,1900.0,1900.0,1900.0,0
2004-04-08,1900.0,1900.0,1900.0,1900.0,0
2004-04-13,1900.0,1900.0,1900.0,1900.0,0
2004-04-14,1900.0,1900.0,1900.0,1900.0,0
2004-04-15,1900.0,1900.0,1900.0,1900.0,0
2004-04-16,1900.0,1900.0,1900.0,1900.0,0
2004-04-19,1900.0,1900.0,1900.0,1900.0,0
2004-04-20,1900.0,1900.0,1900.0,1900.0,0
2004-04-21,1880.0,1880.0,1880.0,1880.0,0
2004-04-22,1880.0,1880.0,1880.0,1880.0,0
2004-04-26,1880.0,1880.0,1880.0,1880.0,0
2004-04-27,1880.0,1880.0,1880.0,1880.0,0
2004-04-28,1880.0,1880.0,1880.0,1880.0,0
2004-04-29,1880.0,1880.0,1880.0,1880.0,0
2004-04-30,1880.0,1880.0,1880.0,1880.0,0
2004-05-03,1880.0,1880.0,1880.0,1880.0,0
2004-05-04,1880.0,1880.0,1880.0,1880.0,0
2004-05-05,1880.0,1880.0,1880.0,1880.0,0
2004-05-06,1880.0,1880.0,1880.0,1880.0,0
2004-05-10,1850.0,1850.0,1850.0,1850.0,0
2004-05-12,1850.0,1850.0,1850.0,1850.0,0
2004-05-13,1850.0,1850.0,1850.0,1850.0,0
2004-05-14,1850.0,1850.0,1850.0,1850.0,0
2004-05-17,1850.0,1850.0,1850.0,1850.0,0
2004-05-18,1800.0,1800.0,1800.0,1800.0,0
2004-05-19,1800.0,1800.0,1800.0,1800.0,0
2004-05-20,1800.0,1800.0,1800.0,1800.0,0
2004-05-24,1800.0,1800.0,1800.0,1800.0,0
2004-05-25,1800.0,1800.0,1800.0,1800.0,0
2004-05-26,1800.0,1800.0,1800.0,1800.0,0
2004-05-27,1800.0,1800.0,1800.0,1800.0,0
2004-05-28,1800.0,1800.0,1800.0,1800.0,0
2004-05-31,1800.0,1800.0,1800.0,1800.0,0
2004-06-01,1800.0,1800.0,1800.0,1800.0,0
2004-06-02,1800.0,1800.0,1800.0,1800.0,0
2004-06-03,1800.0,1800.0,1800.0,1800.0,0
2004-06-04,1800.0,1800.0,1800.0,1800.0,0
2004-06-07,1800.0,1800.0,1800.0,1800.0,0
2004-06-08,1800.0,1800.0,1800.0,1800.0,0
2004-06-09,1800.0,1800.0,1800.0,1800.0,0
2004-06-10,1800.0,1800.0,1800.0,1800.0,0
2004-06-11,1800.0,1800.0,1800.0,1800.0,0
2004-06-14,1800.0,1800.0,1800.0,1800.0,0
2004-06-15,1800.0,1800.0,1800.0,1800.0,0
2004-06-16,1800.0,1800.0,1800.0,1800.0,0
2004-06-17,1800.0,1800.0,1800.0,1800.0,0
2004-06-18,1800.0,1800.0,1800.0,1800.0,0
2004-06-21,1800.0,1800.0,1800.0,1800.0,0
2004-06-22,1800.0,1800.0,1800.0,1800.0,0
2004-06-23,1800.0,1800.0,1800.0,1800.0,0
2004-06-24,1800.0,1800.0,1800.0,1800.0,0
2004-06-25,1800.0,1800.0,1800.0,1800.0,0
2004-06-28,1800.0,1800.0,1800.0,1800.0,0
2004-06-29,1785.0,1785.0,1785.0,1785.0,0
2004-06-30,1760.0,1760.0,1170.0,1170.0,0
2004-07-01,1760.0,1760.0,1760.0,1760.0,0
2004-07-02,1760.0,1760.0,1760.0,1760.0,0
2004-07-05,1760.0,1760.0,1760.0,1760.0,0
2004-07-06,1760.0,1760.0,1760.0,1760.0,0
2004-07-07,1710.0,1710.0,1710.0,1710.0,0
2004-07-08,1710.0,1710.0,1710.0,1710.0,0
2004-07-09,1710.0,1710.0,1710.0,1710.0,0
2004-07-12,1710.0,1710.0,1710.0,1710.0,0
2004-07-13,1710.0,1710.0,1710.0,1710.0,0
2004-07-14,1710.0,1710.0,1710.0,1710.0,0
2004-07-15,1710.0,1710.0,1710.0,1710.0,0
2004-07-16,1757.5,1775.0,1705.0,1737.75,0
2004-07-19,1710.0,1710.0,1710.0,1710.0,0
2004-07-20,1710.0,1710.0,1710.0,1710.0,0
2004-07-21,1710.0,1710.0,1710.0,1710.0,0
2004-07-22,1710.0,1710.0,1710.0,1710.0,0
2004-07-23,1710.0,1710.0,1710.0,1710.0,0
2004-07-26,1710.0,1710.0,1710.0,1710.0,0
2004-07-27,1710.0,1710.0,1710.0,1710.0,0
2004-07-28,1710.0,1710.0,1710.0,1710.0,0
2004-07-29,1710.0,1710.0,1710.0,1710.0,0
2004-07-30,1710.0,1710.0,1710.0,1710.0,0
2004-08-02,1735.0,1735.0,1735.0,1735.0,0
2004-08-03,1735.0,1735.0,1735.0,1735.0,0
2004-08-04,1735.0,1735.0,1735.0,1735.0,0
2004-08-05,1735.0,1735.0,1735.0,1735.0,0
2004-08-06,1735.0,1735.0,1735.0,1735.0,0
2004-08-09,1735.0,1735.0,1735.0,1735.0,0
2004-08-10,1735.0,1735.0,1735.0,1735.0,0
2004-08-11,1735.0,1735.0,1735.0,1735.0,0
2004-08-12,1735.0,1735.0,1735.0,1735.0,0
2004-08-13,1724.0,1760.0,1716.5,1740.0,0
2004-08-16,1735.0,1735.0,1735.0,1735.0,0
2004-08-17,1735.0,1735.0,1735.0,1735.0,0
2004-08-18,1735.0,1735.0,1735.0,1735.0,0
2004-08-19,1735.0,1735.0,1735.0,1735.0,0
2004-08-20,1735.0,1735.0,1735.0,1735.0,0
2004-08-23,1735.0,1735.0,1735.0,1735.0,0
2004-08-24,1735.0,1735.0,1735.0,1735.0,0
2004-08-25,1735.0,1735.0,1735.0,1735.0,0
2004-08-26,1735.0,1735.0,1735.0,1735.0,0
2004-08-27,1735.0,1735.0,1735.0,1735.0,0
2004-08-30,1735.0,1735.0,1735.0,1735.0,0
2004-08-31,1735.0,1735.0,1735.0,1735.0,0
2004-09-01,1735.0,1735.0,1735.0,1735.0,0
